Area,Area Type,Indicator,Indicator Type,Year,Year Type,Measure Type,Value,Rate
South Lanarkshire,Council Area,Total Net mIgration (16-64),Flow,2004,Mid-Year,Count,1272,4.161486619
Stirling,Council Area,Total Net mIgration (16-64),Flow,2004,Mid-Year,Count,-407,-4.682466636
Tayside,Health Board,Total Net mIgration (16-64),Flow,2004,Mid-Year,Count,1349,3.457467258
West Dunbartonshire,Council Area,Total Net mIgration (16-64),Flow,2004,Mid-Year,Count,-196,-2.131361462
West Lothian,Council Area,Total Net mIgration (16-64),Flow,2004,Mid-Year,Count,835,5.105784518
Western Isles,Health Board,Total Net mIgration (16-64),Flow,2004,Mid-Year,Count,126,4.727954972
Aberdeen City,Council Area,Total Net mIgration (16-64),Flow,2005,Mid-Year,Count,963,4.614499976
Aberdeenshire,Council Area,Total Net mIgration (16-64),Flow,2005,Mid-Year,Count,1667,7.016879236
Angus,Council Area,Total Net mIgration (16-64),Flow,2005,Mid-Year,Count,594,5.33500988
Argyll and Bute,Council Area,Total Net mIgration (16-64),Flow,2005,Mid-Year,Count,307,3.39827319
Ayrshire and Arran,Health Board,Total Net mIgration (16-64),Flow,2005,Mid-Year,Count,29,0.078590786
Borders,Health Board,Total Net mIgration (16-64),Flow,2005,Mid-Year,Count,605,5.487528345
City of Edinburgh,Council Area,Total Net mIgration (16-64),Flow,2005,Mid-Year,Count,5731,12.7505729
Clackmannanshire,Council Area,Total Net mIgration (16-64),Flow,2005,Mid-Year,Count,408,8.299430431
Dumfries and Galloway,Council Area,Total Net mIgration (16-64),Flow,2005,Mid-Year,Count,726,4.852292474
Dumfries and Galloway,Health Board,Total Net mIgration (16-64),Flow,2005,Mid-Year,Count,726,4.852292474
Dundee City,Council Area,Total Net mIgration (16-64),Flow,2005,Mid-Year,Count,634,4.415041783
East Ayrshire,Council Area,Total Net mIgration (16-64),Flow,2005,Mid-Year,Count,-27,-0.224476222
East Dunbartonshire,Council Area,Total Net mIgration (16-64),Flow,2005,Mid-Year,Count,-644,-6.073179932
East Lothian,Council Area,Total Net mIgration (16-64),Flow,2005,Mid-Year,Count,267,2.879327079
East Renfrewshire,Council Area,Total Net mIgration (16-64),Flow,2005,Mid-Year,Count,-326,-3.6270583
Falkirk,Council Area,Total Net mIgration (16-64),Flow,2005,Mid-Year,Count,1392,9.271964298
Fife,Council Area,Total Net mIgration (16-64),Flow,2005,Mid-Year,Count,1997,5.618072357
Fife,Health Board,Total Net mIgration (16-64),Flow,2005,Mid-Year,Count,1997,5.618072357
Forth Valley,Health Board,Total Net mIgration (16-64),Flow,2005,Mid-Year,Count,2241,7.813807531
Glasgow City,Council Area,Total Net mIgration (16-64),Flow,2005,Mid-Year,Count,531,0.932806324
Grampian,Health Board,Total Net mIgration (16-64),Flow,2005,Mid-Year,Count,3179,5.926989336
Greater Glasgow and Clyde,Health Board,Total Net mIgration (16-64),Flow,2005,Mid-Year,Count,-877,-0.789513958
Highland,Council Area,Total Net mIgration (16-64),Flow,2005,Mid-Year,Count,2040,9.355223333
Highland,Health Board,Total Net mIgration (16-64),Flow,2005,Mid-Year,Count,2347,7.610246433
Inverclyde,Council Area,Total Net mIgration (16-64),Flow,2005,Mid-Year,Count,-145,-1.753749395
Lanarkshire,Health Board,Total Net mIgration (16-64),Flow,2005,Mid-Year,Count,440,0.694017256
Lothian,Health Board,Total Net mIgration (16-64),Flow,2005,Mid-Year,Count,6347,8.062139573
Midlothian,Council Area,Total Net mIgration (16-64),Flow,2005,Mid-Year,Count,-273,-3.41036852
Moray,Council Area,Total Net mIgration (16-64),Flow,2005,Mid-Year,Count,549,6.093229745
Na h-Eileanan Siar,Council Area,Total Net mIgration (16-64),Flow,2005,Mid-Year,Count,125,4.641663572
North Ayrshire,Council Area,Total Net mIgration (16-64),Flow,2005,Mid-Year,Count,-22,-0.160948131
North Lanarkshire,Council Area,Total Net mIgration (16-64),Flow,2005,Mid-Year,Count,151,0.461576084
Orkney,Health Board,Total Net mIgration (16-64),Flow,2005,Mid-Year,Count,67,3.338315894
Orkney Islands,Council Area,Total Net mIgration (16-64),Flow,2005,Mid-Year,Count,67,3.338315894
Perth and Kinross,Council Area,Total Net mIgration (16-64),Flow,2005,Mid-Year,Count,1488,10.77792264
Renfrewshire,Council Area,Total Net mIgration (16-64),Flow,2005,Mid-Year,Count,-401,-2.339147174
SCOTLAND,Council Area,Total Net mIgration (16-64),Flow,2005,Mid-Year,Count,19931,3.900238738
SCOTLAND,Health Board,Total Net mIgration (16-64),Flow,2005,Mid-Year,Count,19931,3.900238738
Scottish Borders,Council Area,Total Net mIgration (16-64),Flow,2005,Mid-Year,Count,605,5.487528345
Shetland,Health Board,Total Net mIgration (16-64),Flow,2005,Mid-Year,Count,-11,-0.494382022
Shetland Islands,Council Area,Total Net mIgration (16-64),Flow,2005,Mid-Year,Count,-11,-0.494382022
South Ayrshire,Council Area,Total Net mIgration (16-64),Flow,2005,Mid-Year,Count,78,0.696242078
South Lanarkshire,Council Area,Total Net mIgration (16-64),Flow,2005,Mid-Year,Count,562,1.831513769
Stirling,Council Area,Total Net mIgration (16-64),Flow,2005,Mid-Year,Count,441,5.039424066
Tayside,Health Board,Total Net mIgration (16-64),Flow,2005,Mid-Year,Count,2716,6.910941476
West Dunbartonshire,Council Area,Total Net mIgration (16-64),Flow,2005,Mid-Year,Count,-165,-1.802687643
West Lothian,Council Area,Total Net mIgration (16-64),Flow,2005,Mid-Year,Count,622,3.769468517
Western Isles,Health Board,Total Net mIgration (16-64),Flow,2005,Mid-Year,Count,125,4.641663572
Aberdeen City,Council Area,Total Net mIgration (16-64),Flow,2006,Mid-Year,Count,1306,6.230024329
Aberdeenshire,Council Area,Total Net mIgration (16-64),Flow,2006,Mid-Year,Count,1962,8.135002902
Angus,Council Area,Total Net mIgration (16-64),Flow,2006,Mid-Year,Count,576,5.12
Argyll and Bute,Council Area,Total Net mIgration (16-64),Flow,2006,Mid-Year,Count,136,1.496808276
Ayrshire and Arran,Health Board,Total Net mIgration (16-64),Flow,2006,Mid-Year,Count,-11,-0.029783662
Borders,Health Board,Total Net mIgration (16-64),Flow,2006,Mid-Year,Count,649,5.854230561
City of Edinburgh,Council Area,Total Net mIgration (16-64),Flow,2006,Mid-Year,Count,3946,8.72931599
Clackmannanshire,Council Area,Total Net mIgration (16-64),Flow,2006,Mid-Year,Count,223,4.501413
Dumfries and Galloway,Council Area,Total Net mIgration (16-64),Flow,2006,Mid-Year,Count,318,2.123255659
Dumfries and Galloway,Health Board,Total Net mIgration (16-64),Flow,2006,Mid-Year,Count,318,2.123255659
Dundee City,Council Area,Total Net mIgration (16-64),Flow,2006,Mid-Year,Count,113,0.788225446
East Ayrshire,Council Area,Total Net mIgration (16-64),Flow,2006,Mid-Year,Count,14,0.116240452
East Dunbartonshire,Council Area,Total Net mIgration (16-64),Flow,2006,Mid-Year,Count,-613,-5.805474003
East Lothian,Council Area,Total Net mIgration (16-64),Flow,2006,Mid-Year,Count,561,5.977623868
East Renfrewshire,Council Area,Total Net mIgration (16-64),Flow,2006,Mid-Year,Count,-494,-5.504178273
Falkirk,Council Area,Total Net mIgration (16-64),Flow,2006,Mid-Year,Count,792,5.241908796
Fife,Council Area,Total Net mIgration (16-64),Flow,2006,Mid-Year,Count,1292,3.616413816
Fife,Health Board,Total Net mIgration (16-64),Flow,2006,Mid-Year,Count,1293,3.619212898
Forth Valley,Health Board,Total Net mIgration (16-64),Flow,2006,Mid-Year,Count,1458,5.049875312
Glasgow City,Council Area,Total Net mIgration (16-64),Flow,2006,Mid-Year,Count,19,0.033423636
Grampian,Health Board,Total Net mIgration (16-64),Flow,2006,Mid-Year,Count,3723,6.874203733
Greater Glasgow and Clyde,Health Board,Total Net mIgration (16-64),Flow,2006,Mid-Year,Count,-1172,-1.056998557
Highland,Council Area,Total Net mIgration (16-64),Flow,2006,Mid-Year,Count,1506,6.821270043
Highland,Health Board,Total Net mIgration (16-64),Flow,2006,Mid-Year,Count,1642,5.268900013
Inverclyde,Council Area,Total Net mIgration (16-64),Flow,2006,Mid-Year,Count,-289,-3.51068999
Lanarkshire,Health Board,Total Net mIgration (16-64),Flow,2006,Mid-Year,Count,479,0.7517381
Lothian,Health Board,Total Net mIgration (16-64),Flow,2006,Mid-Year,Count,5324,6.713829935
Midlothian,Council Area,Total Net mIgration (16-64),Flow,2006,Mid-Year,Count,-206,-2.575321915
Moray,Council Area,Total Net mIgration (16-64),Flow,2006,Mid-Year,Count,455,5.012117206
Na h-Eileanan Siar,Council Area,Total Net mIgration (16-64),Flow,2006,Mid-Year,Count,60,2.2172949
North Ayrshire,Council Area,Total Net mIgration (16-64),Flow,2006,Mid-Year,Count,-124,-0.906499013
North Lanarkshire,Council Area,Total Net mIgration (16-64),Flow,2006,Mid-Year,Count,268,0.815233923
Orkney,Health Board,Total Net mIgration (16-64),Flow,2006,Mid-Year,Count,142,6.981317601
Orkney Islands,Council Area,Total Net mIgration (16-64),Flow,2006,Mid-Year,Count,142,6.981317601
Perth and Kinross,Council Area,Total Net mIgration (16-64),Flow,2006,Mid-Year,Count,1520,10.90543837
Renfrewshire,Council Area,Total Net mIgration (16-64),Flow,2006,Mid-Year,Count,-312,-1.821685059
SCOTLAND,Council Area,Total Net mIgration (16-64),Flow,2006,Mid-Year,Count,16044,3.12565751
SCOTLAND,Health Board,Total Net mIgration (16-64),Flow,2006,Mid-Year,Count,16044,3.12565751
Scottish Borders,Council Area,Total Net mIgration (16-64),Flow,2006,Mid-Year,Count,649,5.854230561
Shetland,Health Board,Total Net mIgration (16-64),Flow,2006,Mid-Year,Count,-69,-3.10670869
Shetland Islands,Council Area,Total Net mIgration (16-64),Flow,2006,Mid-Year,Count,-69,-3.10670869
South Ayrshire,Council Area,Total Net mIgration (16-64),Flow,2006,Mid-Year,Count,99,0.883140054
South Lanarkshire,Council Area,Total Net mIgration (16-64),Flow,2006,Mid-Year,Count,763,2.473658616
Stirling,Council Area,Total Net mIgration (16-64),Flow,2006,Mid-Year,Count,443,5.028947667
Tayside,Health Board,Total Net mIgration (16-64),Flow,2006,Mid-Year,Count,2208,5.586479101
West Dunbartonshire,Council Area,Total Net mIgration (16-64),Flow,2006,Mid-Year,Count,-35,-0.382890275
West Lothian,Council Area,Total Net mIgration (16-64),Flow,2006,Mid-Year,Count,1023,6.121716235
Western Isles,Health Board,Total Net mIgration (16-64),Flow,2006,Mid-Year,Count,60,2.2172949
Aberdeen City,Council Area,Total Net mIgration (16-64),Flow,2007,Mid-Year,Count,2776,13.06537394
Aberdeenshire,Council Area,Total Net mIgration (16-64),Flow,2007,Mid-Year,Count,1758,7.193420353
Angus,Council Area,Total Net mIgration (16-64),Flow,2007,Mid-Year,Count,494,4.350889554
Argyll and Bute,Council Area,Total Net mIgration (16-64),Flow,2007,Mid-Year,Count,225,2.478246503
Ayrshire and Arran,Health Board,Total Net mIgration (16-64),Flow,2007,Mid-Year,Count,805,2.171274444
Borders,Health Board,Total Net mIgration (16-64),Flow,2007,Mid-Year,Count,1031,9.188948307
City of Edinburgh,Council Area,Total Net mIgration (16-64),Flow,2007,Mid-Year,Count,5148,11.28848347
Clackmannanshire,Council Area,Total Net mIgration (16-64),Flow,2007,Mid-Year,Count,503,9.940711462
Dumfries and Galloway,Council Area,Total Net mIgration (16-64),Flow,2007,Mid-Year,Count,404,2.686706125
Dumfries and Galloway,Health Board,Total Net mIgration (16-64),Flow,2007,Mid-Year,Count,404,2.686706125
Dundee City,Council Area,Total Net mIgration (16-64),Flow,2007,Mid-Year,Count,320,2.226861517
East Ayrshire,Council Area,Total Net mIgration (16-64),Flow,2007,Mid-Year,Count,276,2.281934684
East Dunbartonshire,Council Area,Total Net mIgration (16-64),Flow,2007,Mid-Year,Count,-435,-4.140885293
East Lothian,Council Area,Total Net mIgration (16-64),Flow,2007,Mid-Year,Count,1167,12.21094486
East Renfrewshire,Council Area,Total Net mIgration (16-64),Flow,2007,Mid-Year,Count,-118,-1.313446126
Falkirk,Council Area,Total Net mIgration (16-64),Flow,2007,Mid-Year,Count,820,5.383403361
Fife,Council Area,Total Net mIgration (16-64),Flow,2007,Mid-Year,Count,1394,3.885822601
Fife,Health Board,Total Net mIgration (16-64),Flow,2007,Mid-Year,Count,1391,3.877459999
Forth Valley,Health Board,Total Net mIgration (16-64),Flow,2007,Mid-Year,Count,1640,5.628968594
Glasgow City,Council Area,Total Net mIgration (16-64),Flow,2007,Mid-Year,Count,3295,5.762907514
Grampian,Health Board,Total Net mIgration (16-64),Flow,2007,Mid-Year,Count,4881,8.902060916
Greater Glasgow and Clyde,Health Board,Total Net mIgration (16-64),Flow,2007,Mid-Year,Count,3247,2.919964029
Highland,Council Area,Total Net mIgration (16-64),Flow,2007,Mid-Year,Count,2010,8.973214286
Highland,Health Board,Total Net mIgration (16-64),Flow,2007,Mid-Year,Count,2235,7.09997141
Inverclyde,Council Area,Total Net mIgration (16-64),Flow,2007,Mid-Year,Count,-259,-3.1543052
Lanarkshire,Health Board,Total Net mIgration (16-64),Flow,2007,Mid-Year,Count,945,1.473041011
Lothian,Health Board,Total Net mIgration (16-64),Flow,2007,Mid-Year,Count,7534,9.400461663
Midlothian,Council Area,Total Net mIgration (16-64),Flow,2007,Mid-Year,Count,99,1.231802912
Moray,Council Area,Total Net mIgration (16-64),Flow,2007,Mid-Year,Count,347,3.794838145
Na h-Eileanan Siar,Council Area,Total Net mIgration (16-64),Flow,2007,Mid-Year,Count,45,1.653803749
North Ayrshire,Council Area,Total Net mIgration (16-64),Flow,2007,Mid-Year,Count,242,1.761024596
North Lanarkshire,Council Area,Total Net mIgration (16-64),Flow,2007,Mid-Year,Count,589,1.778596449
Orkney,Health Board,Total Net mIgration (16-64),Flow,2007,Mid-Year,Count,80,3.887269193
Orkney Islands,Council Area,Total Net mIgration (16-64),Flow,2007,Mid-Year,Count,80,3.887269193
Perth and Kinross,Council Area,Total Net mIgration (16-64),Flow,2007,Mid-Year,Count,1865,13.21383024
Renfrewshire,Council Area,Total Net mIgration (16-64),Flow,2007,Mid-Year,Count,127,0.738930587
SCOTLAND,Council Area,Total Net mIgration (16-64),Flow,2007,Mid-Year,Count,26935,5.209864603
SCOTLAND,Health Board,Total Net mIgration (16-64),Flow,2007,Mid-Year,Count,26935,5.209864603
Scottish Borders,Council Area,Total Net mIgration (16-64),Flow,2007,Mid-Year,Count,1031,9.188948307
Shetland,Health Board,Total Net mIgration (16-64),Flow,2007,Mid-Year,Count,15,0.67114094
Shetland Islands,Council Area,Total Net mIgration (16-64),Flow,2007,Mid-Year,Count,15,0.67114094
South Ayrshire,Council Area,Total Net mIgration (16-64),Flow,2007,Mid-Year,Count,287,2.553835202
South Lanarkshire,Council Area,Total Net mIgration (16-64),Flow,2007,Mid-Year,Count,1014,3.267068338
Stirling,Council Area,Total Net mIgration (16-64),Flow,2007,Mid-Year,Count,317,3.584756304
Tayside,Health Board,Total Net mIgration (16-64),Flow,2007,Mid-Year,Count,2682,6.732265676
West Dunbartonshire,Council Area,Total Net mIgration (16-64),Flow,2007,Mid-Year,Count,-21,-0.229834738
West Lothian,Council Area,Total Net mIgration (16-64),Flow,2007,Mid-Year,Count,1120,6.608839323
Western Isles,Health Board,Total Net mIgration (16-64),Flow,2007,Mid-Year,Count,45,1.653803749
Aberdeen City,Council Area,Total Net mIgration (16-64),Flow,2008,Mid-Year,Count,1641,7.66750771
Aberdeenshire,Council Area,Total Net mIgration (16-64),Flow,2008,Mid-Year,Count,1177,4.768464125
Angus,Council Area,Total Net mIgration (16-64),Flow,2008,Mid-Year,Count,342,2.987160451
Argyll and Bute,Council Area,Total Net mIgration (16-64),Flow,2008,Mid-Year,Count,12,0.1334668
Ayrshire and Arran,Health Board,Total Net mIgration (16-64),Flow,2008,Mid-Year,Count,649,1.744061056
Borders,Health Board,Total Net mIgration (16-64),Flow,2008,Mid-Year,Count,950,8.380381087
City of Edinburgh,Council Area,Total Net mIgration (16-64),Flow,2008,Mid-Year,Count,3653,7.966937102
Clackmannanshire,Council Area,Total Net mIgration (16-64),Flow,2008,Mid-Year,Count,288,5.626098847
Dumfries and Galloway,Council Area,Total Net mIgration (16-64),Flow,2008,Mid-Year,Count,523,3.463346798
Dumfries and Galloway,Health Board,Total Net mIgration (16-64),Flow,2008,Mid-Year,Count,523,3.463346798
Dundee City,Council Area,Total Net mIgration (16-64),Flow,2008,Mid-Year,Count,608,4.213736226
East Ayrshire,Council Area,Total Net mIgration (16-64),Flow,2008,Mid-Year,Count,388,3.190789474
East Dunbartonshire,Council Area,Total Net mIgration (16-64),Flow,2008,Mid-Year,Count,-362,-3.449590242
East Lothian,Council Area,Total Net mIgration (16-64),Flow,2008,Mid-Year,Count,1318,13.5207222
East Renfrewshire,Council Area,Total Net mIgration (16-64),Flow,2008,Mid-Year,Count,-327,-3.638589073
Falkirk,Council Area,Total Net mIgration (16-64),Flow,2008,Mid-Year,Count,532,3.470546024
Fife,Council Area,Total Net mIgration (16-64),Flow,2008,Mid-Year,Count,1248,3.466281524
Fife,Health Board,Total Net mIgration (16-64),Flow,2008,Mid-Year,Count,1242,3.449616709
Forth Valley,Health Board,Total Net mIgration (16-64),Flow,2008,Mid-Year,Count,872,2.975906081
Glasgow City,Council Area,Total Net mIgration (16-64),Flow,2008,Mid-Year,Count,3976,6.900381812
Grampian,Health Board,Total Net mIgration (16-64),Flow,2008,Mid-Year,Count,2973,5.369430548
Greater Glasgow and Clyde,Health Board,Total Net mIgration (16-64),Flow,2008,Mid-Year,Count,3555,3.183087998
Highland,Council Area,Total Net mIgration (16-64),Flow,2008,Mid-Year,Count,1495,6.586773582
Highland,Health Board,Total Net mIgration (16-64),Flow,2008,Mid-Year,Count,1507,4.755743499
Inverclyde,Council Area,Total Net mIgration (16-64),Flow,2008,Mid-Year,Count,-160,-1.951219512
Lanarkshire,Health Board,Total Net mIgration (16-64),Flow,2008,Mid-Year,Count,456,0.707426426
Lothian,Health Board,Total Net mIgration (16-64),Flow,2008,Mid-Year,Count,6021,7.443073652
Midlothian,Council Area,Total Net mIgration (16-64),Flow,2008,Mid-Year,Count,270,3.310852238
Moray,Council Area,Total Net mIgration (16-64),Flow,2008,Mid-Year,Count,155,1.669538992
Na h-Eileanan Siar,Council Area,Total Net mIgration (16-64),Flow,2008,Mid-Year,Count,-59,-2.162756598
North Ayrshire,Council Area,Total Net mIgration (16-64),Flow,2008,Mid-Year,Count,120,0.870132695
North Lanarkshire,Council Area,Total Net mIgration (16-64),Flow,2008,Mid-Year,Count,379,1.137181949
Orkney,Health Board,Total Net mIgration (16-64),Flow,2008,Mid-Year,Count,30,1.446480231
Orkney Islands,Council Area,Total Net mIgration (16-64),Flow,2008,Mid-Year,Count,30,1.446480231
Perth and Kinross,Council Area,Total Net mIgration (16-64),Flow,2008,Mid-Year,Count,1895,13.23971215
Renfrewshire,Council Area,Total Net mIgration (16-64),Flow,2008,Mid-Year,Count,241,1.395968489
SCOTLAND,Council Area,Total Net mIgration (16-64),Flow,2008,Mid-Year,Count,21574,4.146533664
SCOTLAND,Health Board,Total Net mIgration (16-64),Flow,2008,Mid-Year,Count,21574,4.146533664
Scottish Borders,Council Area,Total Net mIgration (16-64),Flow,2008,Mid-Year,Count,950,8.380381087
Shetland,Health Board,Total Net mIgration (16-64),Flow,2008,Mid-Year,Count,4,0.177935943
Shetland Islands,Council Area,Total Net mIgration (16-64),Flow,2008,Mid-Year,Count,4,0.177935943
South Ayrshire,Council Area,Total Net mIgration (16-64),Flow,2008,Mid-Year,Count,141,1.252109049
South Lanarkshire,Council Area,Total Net mIgration (16-64),Flow,2008,Mid-Year,Count,401,1.288105104
Stirling,Council Area,Total Net mIgration (16-64),Flow,2008,Mid-Year,Count,52,0.587305173
Tayside,Health Board,Total Net mIgration (16-64),Flow,2008,Mid-Year,Count,2851,7.093627927
West Dunbartonshire,Council Area,Total Net mIgration (16-64),Flow,2008,Mid-Year,Count,-137,-1.502357715
West Lothian,Council Area,Total Net mIgration (16-64),Flow,2008,Mid-Year,Count,780,4.55102398
Western Isles,Health Board,Total Net mIgration (16-64),Flow,2008,Mid-Year,Count,-59,-2.162756598
Aberdeen City,Council Area,Total Net mIgration (16-64),Flow,2009,Mid-Year,Count,3043,14.02174915
Aberdeenshire,Council Area,Total Net mIgration (16-64),Flow,2009,Mid-Year,Count,884,3.549915669
Angus,Council Area,Total Net mIgration (16-64),Flow,2009,Mid-Year,Count,-13,-0.113210833
Argyll and Bute,Council Area,Total Net mIgration (16-64),Flow,2009,Mid-Year,Count,-28,-0.313024036
Ayrshire and Arran,Health Board,Total Net mIgration (16-64),Flow,2009,Mid-Year,Count,147,0.394705045
Borders,Health Board,Total Net mIgration (16-64),Flow,2009,Mid-Year,Count,189,1.663878863
City of Edinburgh,Council Area,Total Net mIgration (16-64),Flow,2009,Mid-Year,Count,5710,12.32649008
Clackmannanshire,Council Area,Total Net mIgration (16-64),Flow,2009,Mid-Year,Count,82,1.598752193
Dumfries and Galloway,Council Area,Total Net mIgration (16-64),Flow,2009,Mid-Year,Count,111,0.734321249
Dumfries and Galloway,Health Board,Total Net mIgration (16-64),Flow,2009,Mid-Year,Count,111,0.734321249
Dundee City,Council Area,Total Net mIgration (16-64),Flow,2009,Mid-Year,Count,1036,7.136460701
East Ayrshire,Council Area,Total Net mIgration (16-64),Flow,2009,Mid-Year,Count,326,2.669724019
East Dunbartonshire,Council Area,Total Net mIgration (16-64),Flow,2009,Mid-Year,Count,-218,-2.076981707
East Lothian,Council Area,Total Net mIgration (16-64),Flow,2009,Mid-Year,Count,421,4.28106569
East Renfrewshire,Council Area,Total Net mIgration (16-64),Flow,2009,Mid-Year,Count,-280,-3.111802623
Falkirk,Council Area,Total Net mIgration (16-64),Flow,2009,Mid-Year,Count,477,3.093184618
Fife,Council Area,Total Net mIgration (16-64),Flow,2009,Mid-Year,Count,1146,3.170826186
Fife,Health Board,Total Net mIgration (16-64),Flow,2009,Mid-Year,Count,1145,3.168059322
Forth Valley,Health Board,Total Net mIgration (16-64),Flow,2009,Mid-Year,Count,757,2.573167001
Glasgow City,Council Area,Total Net mIgration (16-64),Flow,2009,Mid-Year,Count,4706,8.091193563
Grampian,Health Board,Total Net mIgration (16-64),Flow,2009,Mid-Year,Count,4178,7.471387697
Greater Glasgow and Clyde,Health Board,Total Net mIgration (16-64),Flow,2009,Mid-Year,Count,4397,3.917742553
Highland,Council Area,Total Net mIgration (16-64),Flow,2009,Mid-Year,Count,667,2.915846995
Highland,Health Board,Total Net mIgration (16-64),Flow,2009,Mid-Year,Count,639,2.008170962
Inverclyde,Council Area,Total Net mIgration (16-64),Flow,2009,Mid-Year,Count,-334,-4.089628995
Lanarkshire,Health Board,Total Net mIgration (16-64),Flow,2009,Mid-Year,Count,-141,-0.217814441
Lothian,Health Board,Total Net mIgration (16-64),Flow,2009,Mid-Year,Count,6586,8.066037158
Midlothian,Council Area,Total Net mIgration (16-64),Flow,2009,Mid-Year,Count,291,3.553113553
Moray,Council Area,Total Net mIgration (16-64),Flow,2009,Mid-Year,Count,251,2.694289395
Na h-Eileanan Siar,Council Area,Total Net mIgration (16-64),Flow,2009,Mid-Year,Count,2,0.07293946
North Ayrshire,Council Area,Total Net mIgration (16-64),Flow,2009,Mid-Year,Count,-252,-1.828339259
North Lanarkshire,Council Area,Total Net mIgration (16-64),Flow,2009,Mid-Year,Count,7,0.020885547
Orkney,Health Board,Total Net mIgration (16-64),Flow,2009,Mid-Year,Count,36,1.719197708
Orkney Islands,Council Area,Total Net mIgration (16-64),Flow,2009,Mid-Year,Count,36,1.719197708
Perth and Kinross,Council Area,Total Net mIgration (16-64),Flow,2009,Mid-Year,Count,1396,9.669598947
Renfrewshire,Council Area,Total Net mIgration (16-64),Flow,2009,Mid-Year,Count,189,1.092359265
SCOTLAND,Council Area,Total Net mIgration (16-64),Flow,2009,Mid-Year,Count,20601,3.937575259
SCOTLAND,Health Board,Total Net mIgration (16-64),Flow,2009,Mid-Year,Count,20601,3.937575259
Scottish Borders,Council Area,Total Net mIgration (16-64),Flow,2009,Mid-Year,Count,189,1.663878863
Shetland,Health Board,Total Net mIgration (16-64),Flow,2009,Mid-Year,Count,135,5.921052632
Shetland Islands,Council Area,Total Net mIgration (16-64),Flow,2009,Mid-Year,Count,135,5.921052632
South Ayrshire,Council Area,Total Net mIgration (16-64),Flow,2009,Mid-Year,Count,73,0.648946573
South Lanarkshire,Council Area,Total Net mIgration (16-64),Flow,2009,Mid-Year,Count,269,0.861682363
Stirling,Council Area,Total Net mIgration (16-64),Flow,2009,Mid-Year,Count,198,2.232495208
Tayside,Health Board,Total Net mIgration (16-64),Flow,2009,Mid-Year,Count,2420,5.984618048
West Dunbartonshire,Council Area,Total Net mIgration (16-64),Flow,2009,Mid-Year,Count,-83,-0.911286781
West Lothian,Council Area,Total Net mIgration (16-64),Flow,2009,Mid-Year,Count,164,0.947757744
Western Isles,Health Board,Total Net mIgration (16-64),Flow,2009,Mid-Year,Count,2,0.07293946
Aberdeen City,Council Area,Total Net mIgration (16-64),Flow,2010,Mid-Year,Count,2709,12.32876712
Aberdeenshire,Council Area,Total Net mIgration (16-64),Flow,2010,Mid-Year,Count,1193,4.744859404
Angus,Council Area,Total Net mIgration (16-64),Flow,2010,Mid-Year,Count,174,1.507668313
Argyll and Bute,Council Area,Total Net mIgration (16-64),Flow,2010,Mid-Year,Count,224,2.52764613
Ayrshire and Arran,Health Board,Total Net mIgration (16-64),Flow,2010,Mid-Year,Count,32,0.085834607
Borders,Health Board,Total Net mIgration (16-64),Flow,2010,Mid-Year,Count,146,1.284080915
City of Edinburgh,Council Area,Total Net mIgration (16-64),Flow,2010,Mid-Year,Count,7905,16.82165429
Clackmannanshire,Council Area,Total Net mIgration (16-64),Flow,2010,Mid-Year,Count,-76,-1.480615624
Dumfries and Galloway,Council Area,Total Net mIgration (16-64),Flow,2010,Mid-Year,Count,91,0.602250165
Dumfries and Galloway,Health Board,Total Net mIgration (16-64),Flow,2010,Mid-Year,Count,91,0.602250165
Dundee City,Council Area,Total Net mIgration (16-64),Flow,2010,Mid-Year,Count,1133,7.757086129
East Ayrshire,Council Area,Total Net mIgration (16-64),Flow,2010,Mid-Year,Count,-17,-0.138877543
East Dunbartonshire,Council Area,Total Net mIgration (16-64),Flow,2010,Mid-Year,Count,-294,-2.80213496
East Lothian,Council Area,Total Net mIgration (16-64),Flow,2010,Mid-Year,Count,397,4.004438168
East Renfrewshire,Council Area,Total Net mIgration (16-64),Flow,2010,Mid-Year,Count,11,0.121667957
Falkirk,Council Area,Total Net mIgration (16-64),Flow,2010,Mid-Year,Count,315,2.030555018
Fife,Council Area,Total Net mIgration (16-64),Flow,2010,Mid-Year,Count,1453,4.007059927
Fife,Health Board,Total Net mIgration (16-64),Flow,2010,Mid-Year,Count,1455,4.012575494
Forth Valley,Health Board,Total Net mIgration (16-64),Flow,2010,Mid-Year,Count,923,3.118137901
Glasgow City,Council Area,Total Net mIgration (16-64),Flow,2010,Mid-Year,Count,4271,7.282182438
Grampian,Health Board,Total Net mIgration (16-64),Flow,2010,Mid-Year,Count,3851,6.817739223
Greater Glasgow and Clyde,Health Board,Total Net mIgration (16-64),Flow,2010,Mid-Year,Count,4428,3.926088807
Highland,Council Area,Total Net mIgration (16-64),Flow,2010,Mid-Year,Count,736,3.189875612
Highland,Health Board,Total Net mIgration (16-64),Flow,2010,Mid-Year,Count,960,3.006106153
Inverclyde,Council Area,Total Net mIgration (16-64),Flow,2010,Mid-Year,Count,-220,-2.699055331
Lanarkshire,Health Board,Total Net mIgration (16-64),Flow,2010,Mid-Year,Count,-392,-0.603578357
Lothian,Health Board,Total Net mIgration (16-64),Flow,2010,Mid-Year,Count,8471,10.26141099
